零;líng;zero
一;yī;one
二;èr;two
三;sān;three
四;sì;four
五;wǔ;five
六;liù;six
七;qī;seven
八;bā;eight
九;jiǔ;nine
十;shí;ten
两;liǎng;two
百;bǎi;hundred
千;qiān;thousand
万;wàn;ten thousand
第一;dì-yī;first
半;bàn;half
我;wǒ;I
你;nǐ;you
您;nín;you
他;tā;he
她;tā;she
它;tā;it
我们;wǒmen;we
自己;zìjǐ;oneself
大家;dàjiā;everybody
其他;qítā;other
别人;biéren;other people
这/这儿;zhè/zhèr;this/here
那/那儿;nà/nàr;that/there
哪/哪儿;nǎ/nǎr;which/where
谁;shéi;who
什么;shénme;what
多少;duōshao;how many
几;jǐ;how many
怎么;zěnme;how
怎么样;zěnmeyàng;how about
为什么;wèi shénme;why
现在;xiànzài;now
刚才;gāngcái;just now
今天;jīntiān;today
明天;míngtiān;tomorrow
昨天;zuótiān;yesterday
早上;zǎoshàng;early morning
上午;shàngwǔ;morning
中午;zhōngwǔ;noon
下午;xiàwǔ;afternoon
晚上;wǎnshàng;evening
点;diǎn;o’clock
小时;xiǎoshí;hour
分钟;fēnzhōng;minute
年;nián;year
月;yuè;month
日;rì;day
号;hào;date or number
星期;xīngqī;week
周末;zhōumò;weekend
时候;shíhou;a certain point in time
时间;shíjiān;a period of time
一会儿;yíhuìr;a short while
以前;yǐqián;before or ago
以后;yǐhòu;after or later
最近;zuìjìn;recent time
过去;guòqù;past
去年;qùnián;last year
季节;jìjié;season
春;chūn;spring
夏;xià;summer
秋;qiū;autumn
冬;dōng;winter
节日;jiérì;festival
生日;shēngrì;birthday
人;rén;person
男人;nánrén;man
女人;nǚrén;woman
名字;míngzì;name
妈妈;māma;mom
爸爸;bàba;dad
丈夫;zhàngfu;husband
妻子;qīzi;wife
孩子;háizi;child
儿子;érzi;son
女儿;nǚ’ér;daughter
哥哥;gēge;elder brother
姐姐;jiějie;elder sister
弟弟;dìdi;younger brother
妹妹;mèimei;younger sister
爷爷;yéye;grandpa
奶奶;nǎinai;grandma
叔叔;shūshu;uncle
阿姨;āyí;aunt or maid
朋友;péngyǒu;friend
客人;kèren;guest
邻居;línjū;neighbor
先生;xiānsheng;sir
小姐;xiǎojiě;Miss
老师;lǎoshī;teacher
学生;xuésheng;student
同学;tóngxué;schoolmate
同事;tóngshì;colleague
校长;xiàozhǎng;principal
医生;yīshēng;doctor
司机;sījī;driver
服务员;fúwùyuán;waiter
经理;jīnglǐ;manager
身体;shēntǐ;body
脸;liǎn;face
眼睛;yǎnjīng;eye
耳朵;ěrduo;ear
鼻子;bízi;nose
口;kǒu;mouth
头发;tóufa;hair
腿;tuǐ;leg
脚;jiǎo;foot
声音;shēngyīn;sound or voice
东西;dōngxi;thing
钱;qián;money
水;shuǐ;water
茶;chá;tea
咖啡;kāfēi;coffee
牛奶;niúnǎi;milk
面包;miànbāo;bread
蛋糕;dàngāo;cake
糖;táng;candy
菜;cài;dish
米饭;mǐfàn;rice
面条;miàntiáo;noodle
鸡蛋;jīdàn;egg
鱼;yú;fish
羊肉;yángròu;mutton
菜单;càidān;menu
衣服;yīfu;clothes
衬衫;chènshān;shirt
裤子;kùzi;pants
裙子;qúnzi;skirt
帽子;màozi;hat
鞋;xié;shoe
包;bāo;bag
行李箱;xínglǐxiāng;suitcase
伞;sǎn;umbrella
眼镜;yǎnjìng;glasses
书;shū;book
报纸;bàozhǐ;newspaper
字典;zìdiǎn;dictionary
地图;dìtú;map
票;piào;ticket
信;xìn;letter
照片;zhàopiàn;photo
护照;hùzhào;passport
照相机;zhàoxiàngjī;camera
桌子;zhuōzi;table
椅子;yǐzi;chair
黑板;hēibǎn;blackboard
铅笔;qiānbǐ;pencil
水果;shuǐguǒ;fruit
苹果;píngguǒ;apple
香蕉;xiāngjiāo;banana
西瓜;xīguā;watermelon
葡萄;pútáo;grape
果汁;guǒzhī;juice
啤酒;píjiǔ;beer
草;cǎo;grass
药;yào;medicine
杯子;bēizi;glass
碗;wǎn;bowl
筷子;kuàizi;chopsticks
盘子;pánzi;plate
手表;shǒubiǎo;watch
手机;shǒujī;mobile phone
电视;diànshì;TV
电脑;diànnǎo;computer
电子邮件;diànzǐ yóujiàn;email
冰箱;bīngxiāng;refrigerator
空调;kōngtiáo;air conditioner
灯;dēng;light
电影;diànyǐng;movie
礼物;lǐwù;gift
飞机;fēijī;plane
出租车;chūzūchē;taxi
公共汽车;gōnggòng qìchē;bus
地铁;dìtiě;metro
自行车;zìxíngchē;bike
船;chuán;boat
门;mén;door
电梯;diàntī;elevator
颜色;yánsè;color
动物;dòngwù;animal
猫;māo;cat
狗;gǒu;dog
马;mǎ;horse
熊猫;xióngmāo;panda
鸟;niǎo;bird
树;shù;tree
天气;tiānqì;weather
太阳;tàiyáng;sun
月亮;yuèliang;moon
云;yún;cloud
雪;xuě;snow
字;zì;character
词语;cíyǔ;word
句子;jùzi;sentence
汉语;Hànyǔ;Chinese
普通话;pǔtōnghuà;Mandarin
数学;shùxué;math
课;kè;lesson
班;bān;class
年级;niánjí;grade
作业;zuòyè;homework
考试;kǎoshì;exam
成绩;chéngjì;score
水平;shuǐpíng;level
问题;wèntí;question
题;tí;exam question
意思;yìsi;meaning
事情;shìqing;matter
兴趣;xìngqù;interest
爱好;àihào;hobby
音乐;yīnyuè;music
体育;tǐyù;P.E.
办法;bànfǎ;method
习惯;xíguàn;habit
比赛;bǐsài;match
游戏;yóuxì;game
故事;gùshi;story
关系;guānxì;relation
环境;huánjìng;environment
会议;huìyì;meeting
机会;jīhuì;opportunity
节目;jiémù;program
世界;shìjiè;world
历史;lìshǐ;history
文化;wénhuà;culture
新闻;xīnwén;news
作用;zuòyòng;effect
中国;Zhōngguó;China
北京;Běijīng;Beijing
国家;guójiā;nation
城市;chéngshì;city
地方;dìfāng;place
家;jiā;home
楼;lóu;building
房间;fángjiān;room
厨房;chúfáng;kitchen
洗手间;xǐshǒujiān;washroom
学校;xuéxiào;school
教室;jiàoshì;classroom
图书馆;túshūguǎn;library
公司;gōngsī;company
办公室;bàngōngshì;office
饭馆;fànguǎn;restaurant
宾馆;bīngguǎn;hotel
商店;shāngdiàn;shop
超市;chāoshì;supermarket
公园;gōngyuán;park
花园;huāyuán;garden
银行;yínháng;bank
医院;yīyuàn;hospital
机场;jīchǎng;airport
火车站;huǒchēzhàn;train station
路;lù;road
街道;jiēdào;street
河;hé;river
上;shàng;above
下;xià;below
左边;zuǒbiān;left
右边;yòubiān;right
中间;zhōngjiān;middle
旁边;pángbiān;side
附近;fùjìn;surroundings
前面;qiánmiàn;front
后面;hòumiàn;back
里;lǐ;inside
外;wài;outside
东;dōng;east
南;nán;south
西;xī;west
北方;běifāng;north
个;gè;generic measure word
元;yuán;basic monetary unit of China
块;kuài;basic monetary unit of China
角;jiǎo;1/10 of Chinese Yuan
位;wèi;measure word for people
本;běn;book
岁;suì;year
些;xiē;some
次;cì;time
公斤;gōngjīn;kilo
米;mǐ;meter
件;jiàn;m. for affairs, clothes, furniture
张;zhāng;m. for flat objects
条;tiáo;m. for long objects
辆;liàng;m. for vehicles
把;bǎ;m. for things with a handle
种;zhǒng;type
层;céng;floor
双;shuāng;pair
段;duàn;span of time or distance
刻;kè;quarter (time)
做;zuò;to do
是;shì;to be
姓;xìng;to be surnamed
在;zài;to be in
有;yǒu;to have
住;zhù;to live
来;lái;to come
去;qù;to go
回;huí;to return
进;jìn;to enter
出;chū;to get out
到;dào;to arrive
想;xiǎng;to think
要;yào;to want
需要;xūyào;to need
吃;chī;to eat
喝;hē;to drink
说话;shuōhuà;to speak
讲;jiǎng;to say
告诉;gàosù;to tell
问;wèn;to ask
回答;huídá;to answer
看;kàn;to watch
看见;kànjiàn;to see
听;tīng;to listen
笑;xiào;to smile
哭;kū;to cry
见面;jiànmiàn;to meet
遇到;yùdào;to encounter
给;gěi;to give
送;sòng;to give as a gift or to deliver
带;dài;to bring
拿;ná;to hold
放;fàng;to put
叫;jiào;to call
买;mǎi;to buy
卖;mài;to sell
穿;chuān;to wear
开;kāi;to drive or to open
关;guān;to close or to shut
坐;zuò;to sit
站;zhàn;to stand
读;dú;to read
写;xiě;to write
画;huà;to draw or to paint
等;děng;to wait
花;huā;to spend
打电话;dǎ diànhuà;to make a phone call
介绍;jièshào;to introduce
认识;rènshi;to know
知道;zhīdao;to know
了解;liǎojiě;to know well
觉得;juédé;to think
认为;rènwéi;to consider
以为;yǐwéi;to think (wrongly)
懂;dǒng;to understand
明白;míngbai;to understand
找;zhǎo;to find
发现;fāxiàn;to discover
记得;jìde;to remember
忘记;wàngjì;to forget
让;ràng;to let
使;shǐ;to make
用;yòng;to use
希望;xīwàng;to hope
帮助;bāngzhù;to help
帮忙;bāngmáng;to help
玩;wán;to play
学习;xuéxí;to learn
教;jiāo;to teach
复习;fùxí;to review
上网;shàngwǎng;to get online
工作;gōngzuò;to work
上班;shàng bān;to go to work
睡觉;shuìjiào;to sleep
起床;qǐ chuáng;to get up
刷牙;shuāyá;to brush teeth
洗澡;xǐzǎo;to bathe
喜欢;xǐhuan;to like
爱;ài;to love
唱歌;chàng gē;to sing
跳舞;tiào wǔ;to dance
旅游;lǚyóu;to travel
运动;yùndòng;to do sports
走;zǒu;to walk
跑步;pǎo bù;to run
游泳;yóu yǒng;to swim
骑;qí;to ride
踢足球;tī zúqiú;to play soccer
打篮球;dǎ lánqiú;to play basketball
爬山;pá shān;to climb mountain
锻炼;duànliàn;to work out
休息;xiūxi;to rest
生病;shēng bìng;to get sick
发烧;fāshāo;to have a fever
感冒;gǎnmào;to have a cold
疼;téng;to ache
洗;xǐ;to wash
开始;kāishǐ;to begin
完;wán;to finish
结束;jiéshù;to end
完成;wánchéng;to complete or accomplish
打算;dǎsuàn;to plan
决定;juédìng;to decide
选择;xuǎnzé;to choose
准备;zhǔnbèi;to prepare
同意;tóngyì;to agree
解决;jiějué;to solve
担心;dānxīn;to worry
生气;shēngqì;to get angry
